id,gender,income,income_s,age,age_s
1,Male,30000,20000,59,59
3,Male,48000,32000,32,32
4,Female,23000,23000,67,72
5,Female,50000,40000,61,64
8,Male,22000,18000,42,42
9,Male,48000,,86,
14,Female,40000,,52,
16,Female,0,,81,
17,Female,10000,40000,38,38
19,Male,60000,40000,49,44
20,Female,36000,0,53,57
25,Male,20000,20000,65,64
26,Male,50000,30000,61,62
31,Male,40000,30000,66,63
32,Female,100000,36000,62,62
38,Female,,,19,20
39,Male,100000,0,31,29
40,Female,24000,100000,37,41
43,Male,300000,20000,64,58
44,Female,300000,,33,
45,Female,35000,70000,57,57
47,Male,22000,26400,55,54
48,Female,20000,36000,56,54
49,Female,30000,30000,53,57
50,Male,200000,50000,29,28
54,Female,0,,36,38
60,Male,0,19200,58,59
61,Female,36000,50000,56,58
63,Female,20000,20000,42,51
67,Female,40000,0,41,41
68,Female,,,34,35
72,Female,50000,100000,51,53
73,Female,50000,50000,45,47
76,Female,50000,40000,73,75
77,Male,60000,,25,24
78,Male,0,0,53,46
82,Female,40000,260000,30,35
84,Male,32000,20000,77,58
88,Female,50000,500000,49,52
90,Female,60000,,38,
101,Male,45000,36000,63,64
104,Male,28000,30000,72,63
109,Female,16800,8000,59,59
111,Male,20000,0,47,48
114,Female,,,49,52
117,Female,,,31,
118,Male,30000,5000,45,45
119,Male,50000,,22,
122,Female,100000,,46,
123,Female,0,,90,
124,Male,60000,60000,65,63
126,Female,0,200000,37,46
130,Female,36000,0,42,45
131,Female,48000,,81,
135,Male,60000,40000,72,71
143,Male,30000,20000,57,57
146,Male,30000,,28,
147,Female,70000,36000,61,61
155,Female,60000,60000,33,33
157,Male,60000,40000,34,35
158,Female,0,,40,49
160,Male,24000,24000,58,54
164,Female,25000,40000,63,68
165,Male,30000,,21,
170,Female,,,25,
174,Female,70000,50000,33,35
177,Male,40000,,74,
178,Male,150000,50000,42,41
184,Female,100000,100000,38,38
188,Male,110000,0,47,43
192,Male,24000,0,62,60
193,Male,80000,,25,
194,Female,50000,,28,
196,Female,30000,100000,53,53
197,Female,0,,19,
202,Male,180000,0,43,44
205,Male,24000,20000,61,61
207,Male,50000,,53,53
208,Male,100000,,30,
209,Male,36000,36000,30,30
211,Male,80000,5000,72,75
212,Female,20000,40000,52,57
214,Male,48000,36000,55,53
217,Female,40000,80000,38,41
218,Male,50000,40000,67,57
221,Female,0,,19,
224,Female,50000,50000,51,57
225,Female,13000,,82,
226,Female,80000,200000,38,39
227,Female,30000,,22,
229,Female,20000,10000,57,57
230,Male,35000,,25,21
232,Male,32000,22800,64,62
234,Male,80000,20000,27,28
235,Female,50000,300000,34,33
237,Female,20000,30000,56,65
242,Male,50000,0,61,59
244,Male,20000,40000,51,46
246,Male,50000,4000,57,57
252,Female,54000,90000,25,30
253,Male,15000,10000,60,62
255,Male,15000,,24,
256,Female,42000,100000,29,37
257,Female,70000,,61,
258,Female,0,24000,68,73
259,Female,200000,200000,30,29
260,Male,42000,0,76,76
267,Male,30000,20000,62,62
268,Male,100000,60000,69,69
270,Male,40000,,35,
271,Female,60000,60000,78,83
272,Female,20000,15000,49,51
273,Male,45000,20000,70,69
280,Male,,,27,
283,Male,0,,52,45
284,Male,3000,0,39,35
285,Male,5000,5000,28,26
290,Female,,,71,75
292,Female,0,40000,48,52
293,Female,30000,,46,52
295,Male,80000,,40,
296,Male,84000,50000,34,33
297,Male,100000,100000,35,33
298,Female,36000,48000,72,79
300,Female,20000,40000,49,48
301,Male,36000,36000,60,61
303,Male,120000,,26,
304,Male,42000,24000,61,58
307,Female,,40000,47,48
311,Male,30000,,36,
313,Male,0,,18,
317,Female,25000,,56,
318,Female,200000,100000,29,35
319,Male,33600,30000,67,68
321,Female,30000,,64,
324,Female,100000,100000,36,40
327,Male,50000,20000,40,42
328,Female,60000,140000,35,39
331,Female,24000,60000,47,55
332,Female,36000,,52,
334,Female,7560,36000,60,59
335,Female,80000,,47,50
336,Male,150000,,54,52
337,Female,5000,,49,
338,Female,36000,,82,
339,Female,30000,40000,47,52
340,Female,30000,,23,
343,Male,,,46,45
345,Male,120000,,21,
346,Female,0,,24,
359,Female,,,38,42
363,Female,0,280000,33,33
366,Female,400000,,45,
367,Female,30000,20000,65,65
368,Male,74400,36000,65,60
369,Female,30000,30000,56,56
373,Female,66000,38400,68,67
375,Female,50000,70000,27,27
376,Female,50000,60000,75,75
380,Female,80000,30000,42,48
381,Male,75000,50000,62,62
383,Female,36000,900000,56,56
386,Female,32000,36000,66,67
387,Male,50000,70000,48,47
389,Female,0,60000,24,24
392,Female,120000,25000,59,58
393,Female,80000,,29,
395,Male,50000,20000,34,32
398,Male,50000,170000,28,27
399,Male,25000,,52,52
400,Female,45000,50000,55,55
402,Female,30000,,82,
403,Female,1000000,2000000,34,42
405,Female,42000,,73,
406,Female,0,,22,
407,Female,100000,100000,32,33
411,Female,5000,40000,27,26
412,Male,50000,30000,33,31
413,Female,100000,,24,
414,Male,70000,50000,33,29
415,Female,0,67200,81,83
418,Female,20000,30000,46,46
420,Female,0,0,56,60
422,Male,100000,60000,31,31
426,Male,50000,50000,73,71
427,Female,100000,100000,42,48
429,Female,70000,,26,
430,Male,350000,130000,33,31
434,Female,21600,,80,
435,Male,6000,,22,
438,Male,24000,25000,55,51
439,Male,50000,0,38,34
441,Male,240000,,25,
443,Female,100000,50000,43,43
446,Female,30000,30000,43,52
450,Male,40000,,23,
451,Female,80000,130000,28,30
452,Female,40000,,26,
454,Male,55000,40000,59,59
455,Female,60000,0,32,33
458,Female,34632,27600,70,70
460,Female,0,30000,48,57
461,Male,90000,40000,55,81
464,Male,58800,37200,63,63
466,Male,48000,30000,53,50
467,Male,30000,0,57,56
468,Female,30000,50000,52,52
470,Female,50000,100000,32,32
471,Male,300000,30000,38,38
476,Female,20000,30000,63,65
477,Male,84000,100000,51,43
481,Male,80000,30000,34,37
482,Female,44400,75600,80,82
486,Female,150000,100000,31,35
488,Female,0,20000,53,53
489,Male,,50000,52,45
490,Male,60000,24000,54,52
492,Female,200000,0,45,44
493,Male,45000,,50,46
498,Male,0,20000,59,55
502,Female,40000,,30,
503,Male,40000,20000,46,46
507,Female,0,30000,30,31
509,Female,70000,50000,62,61
510,Male,30000,,22,
512,Male,0,15000,43,42
513,Female,20400,30000,52,53
515,Female,360000,,27,
516,Male,30000,30000,53,53
517,Male,21600,16000,66,62
518,Female,35000,35000,63,63
519,Male,48000,50000,66,63
520,Male,35000,30000,66,64
525,Male,40000,,35,
528,Female,36000,36000,66,68
529,Female,15000,30000,48,44
533,Male,80000,30000,49,49
537,Male,60000,,22,
540,Male,20000,9000,48,46
542,Female,100000,,28,
543,Male,150000,150000,35,32
545,Male,400000,,33,
548,Male,60000,40000,68,66
549,Female,30000,,66,
551,Female,30000,,60,58
562,Male,30000,20000,28,28
563,Female,100000,50000,52,52
564,Male,80000,,33,
565,Male,23000,0,51,52
566,Female,32400,46800,64,64
567,Male,190000,100000,35,35
568,Female,26000,31000,64,65
569,Male,120000,55000,30,28
570,Female,3680,,88,
571,Male,100000,80000,47,46
572,Female,50000,,29,
577,Female,30000,40000,61,61
584,Female,50000,10000,39,40
585,Male,250000,150000,33,35
586,Male,60000,60000,37,37
587,Female,0,400000,33,31
589,Female,84000,,30,
591,Male,30000,30000,28,28
594,Female,200000,,31,
595,Female,55000,40000,25,26
596,Female,100000,50000,41,46
600,Female,30000,65000,66,67
605,Female,24000,20000,51,53
608,Male,80000,,27,
613,Female,400000,,76,
614,Male,,,57,59
615,Female,42000,,81,
617,Male,300000,,30,
618,Female,,50000,32,32
619,Female,12000,,39,
623,Male,40000,,77,
625,Male,40000,40000,34,32
626,Male,150000,100000,37,29
627,Male,70000,,31,
632,Female,35000,35000,59,60
633,Male,50000,0,29,29
634,Male,50000,30000,35,32
635,Female,70000,80000,32,33
636,Female,60000,60000,69,73
637,Male,100000,10000,44,43
638,Male,100000,100000,36,36
641,Female,20000,30000,65,66
642,Female,,,45,51
644,Female,30000,,63,
646,Male,20000,20000,56,53
648,Female,50000,50000,61,64
649,Male,50000,40000,54,54
650,Female,80000,70000,29,31
651,Male,36000,50000,70,44
653,Male,,,30,28
655,Female,40000,60000,33,36
657,Female,36000,44000,79,85
659,Male,60000,50000,43,39
661,Female,80000,,28,
662,Female,50000,60000,83,86
665,Male,26000,6000,51,47
667,Male,40000,20000,75,74
668,Male,35000,30000,70,66
669,Male,30000,30000,52,53
670,Female,20000,40000,34,37
672,Male,60000,,28,
675,Female,43000,43400,75,78
676,Male,85000,,42,
681,Male,44000,,22,
682,Male,200000,0,43,43
683,Male,24000,36000,62,58
686,Male,200000,,29,
688,Male,40000,40000,74,73
692,Female,45600,29400,54,58
693,Female,0,80000,34,36
694,Female,200000,,31,
697,Male,40000,0,27,24
698,Male,100000,50000,44,39
699,Female,50000,,45,
703,Female,40000,,27,
704,Female,46200,,63,
706,Male,,0,42,41
710,Female,10000,,42,
712,Male,14400,,60,
716,Female,30000,50000,37,37
720,Male,1000000,,40,40
725,Female,36000,,73,
726,Male,36000,30000,63,60
727,Female,13000,5000,50,52
728,Male,110000,,32,
729,Female,36000,,76,
737,Female,20400,24000,66,64
739,Male,43000,38000,64,64
740,Male,48000,36000,81,80
742,Male,80000,30000,24,29
744,Male,90000,10000,60,60
748,Male,80000,40000,78,67
749,Female,30000,50000,42,44
750,Female,40000,,68,
752,Male,50000,40000,63,62
758,Female,400000,150000,62,62
763,Male,,,43,43
765,Male,25000,10000,61,47
766,Male,50000,,76,
769,Female,50000,40000,35,37
772,Female,300000,500000,42,44
775,Male,0,,23,
777,Female,70000,130000,29,32
779,Female,30000,,25,
781,Female,10000,10000,45,48
782,Female,10000,20000,45,50
783,Male,80000,110000,36,28
785,Male,48000,20000,29,29
787,Female,20000,0,24,25
788,Female,35000,,19,
789,Male,20000,10000,51,46
790,Male,10000,15000,64,61
792,Female,20000,10000,61,59
793,Female,6000,,56,
794,Female,150000,350000,40,44
795,Female,100000,,50,47
796,Male,100000,30000,89,87
798,Male,60000,30000,32,30
800,Female,20000,60000,57,57
801,Male,72000,40000,84,81
802,Male,40000,20000,57,54
803,Female,60000,,23,
804,Female,200000,130000,22,31
806,Female,,,47,52
807,Male,48000,,29,
810,Female,110000,100000,30,30
811,Female,50000,,64,68
812,Male,0,24000,37,37
822,Female,,,52,55
823,Female,50000,60000,66,66
825,Female,45000,12000,54,57
826,Female,,,41,41
827,Female,20000,30000,35,35
828,Male,10000,10000,70,50
832,Female,100000,400000,51,49
835,Female,,50000,50,52
836,Male,40000,40000,68,69
838,Female,4000,30000,79,81
846,Male,800000,0,49,38
849,Female,70000,120000,36,34
851,Male,0,,20,
852,Female,0,0,67,70
854,Female,30624,26376,58,73
855,Male,48000,24000,77,77
858,Female,0,400000,32,57
859,Male,24000,20000,65,65
864,Male,50000,40000,62,60
865,Male,30000,20000,28,27
868,Male,60000,,30,
870,Female,44400,,84,
872,Female,40000,40000,66,39
875,Male,100000,70000,78,76
877,Female,50000,100000,29,29
879,Male,70000,50000,55,55
880,Female,96000,100000,44,45
883,Male,100000,,25,
884,Female,10000,,48,48
885,Female,100000,50000,55,59
886,Male,28000,20000,63,56
887,Male,3000,3000,57,55
895,Male,210000,90000,59,58
898,Male,0,,21,
902,Female,40000,50000,76,75
903,Male,29400,30000,56,58
907,Male,50000,40000,80,78
909,Male,46000,36000,84,77
910,Male,36000,,86,
917,Female,30000,50000,35,39
918,Male,150000,0,30,28
921,Female,36000,36000,67,69
926,Male,40000,40000,79,81
931,Female,200000,250000,43,45
933,Female,20000,40000,52,55
935,Female,30000,70000,29,29
936,Female,20000,20000,55,59
941,Male,100000,50000,39,35
944,Male,200000,100000,32,32
945,Female,20000,20000,63,64
948,Male,40000,0,25,28
949,Male,60000,50000,77,77
958,Female,24000,80000,29,32
959,Female,48000,,37,
962,Female,40000,60000,63,60
963,Female,30000,20000,50,51
966,Male,0,24000,57,56
968,Male,100000,100000,25,24
970,Female,49200,60000,30,33
972,Female,,,52,
973,Female,45000,,74,
974,Male,20000,10000,51,49
975,Female,36000,,88,
