pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
1933,1932,7,87,Female,35,3-year college,han,0.0,1,25000.0,24000.0,Urban,4.0,4.0,4.0,3.0,2.0,0,4.0,8.0,0.0,76.0,68.0
1932,1933,7,87,Male,32,Junior high school or below,han,0.0,1,40000.0,24000.0,Urban,4.0,4.0,4.0,3.0,1.0,0,4.0,8.0,0.0,49.0,74.0
4244,4245,15,200,Male,34,Junior high school or below,han,1.0,1,70000.0,37500.0,Rural,1.0,1.0,4.0,3.0,0.0,0,2.0,7.0,0.0,79.0,74.0
4245,4244,15,200,Female,32,Senior high school/secondary school/tec,,1.0,1,13000.0,37500.0,Rural,5.0,5.0,4.0,1.0,3.0,0,3.0,7.0,0.0,47.0,68.0
4516,4517,17,187,Male,32,Senior high school/secondary school/tec,han,0.0,1,24000.0,16666.67,Urban,5.0,5.0,5.0,5.0,2.0,0,5.0,7.0,0.0,76.0,89.0
4517,4516,17,187,Female,27,Junior high school or below,han,1.0,1,40000.0,16666.67,Urban,4.0,4.0,5.0,2.0,1.0,0,5.0,7.0,0.0,76.0,84.0
11,10,26,227,Female,39,Junior high school or below,han,1.0,1,20000.0,33333.33,Urban,5.0,5.0,1.0,4.0,4.0,0,3.0,17.0,0.0,79.0,83.0
10,11,26,227,Male,43,Senior high school/secondary school/tec,han,1.0,1,15000.0,33333.33,Urban,5.0,2.0,5.0,5.0,0.0,0,3.0,17.0,0.0,78.0,68.0
13,12,29,227,Male,46,Junior high school or below,han,1.0,3,114000.0,24000.0,Urban,4.0,4.0,3.0,5.0,0.5,0,5.0,8.0,0.0,81.0,84.0
12,13,29,227,Female,41,Junior high school or below,han,1.0,3,10000.0,24000.0,Urban,4.0,4.0,3.0,5.0,2.0,0,5.0,8.0,0.0,81.0,89.0
15,14,30,227,Female,42,Junior high school or below,han,0.0,1,10000.0,33333.33,Urban,5.0,5.0,5.0,5.0,2.0,0,1.0,20.0,0.0,91.0,73.0
14,15,30,227,Male,43,Junior high school or below,han,0.0,1,23000.0,33333.33,Urban,4.0,4.0,4.0,3.0,1.0,0,4.0,20.0,0.0,78.0,68.0
23,22,35,227,Male,38,Junior high school or below,han,1.0,2,60000.0,40000.0,Urban,5.0,5.0,5.0,5.0,1.0,0,5.0,5.0,0.0,78.0,67.0
22,23,35,227,Female,36,3-year college,han,0.0,2,17600.0,40000.0,Urban,5.0,5.0,5.0,2.0,3.0,0,1.0,5.0,0.0,55.0,67.0
30,31,45,227,Male,43,Junior high school or below,han,1.0,1,6000.0,14000.0,Urban,5.0,5.0,5.0,3.0,2.0,0,1.0,23.0,0.0,71.0,73.0
31,30,45,227,Female,41,Junior high school or below,han,1.0,1,32000.0,14000.0,Urban,5.0,4.0,3.0,1.0,5.5,0,2.0,23.0,0.0,78.0,89.0
33,32,47,227,Male,49,3-year college,han,0.0,1,48000.0,24000.0,Urban,5.0,5.0,5.0,5.0,0.5,0,4.0,13.0,0.0,91.0,89.0
32,33,47,227,Female,46,Senior high school/secondary school/tec,han,0.0,1,12000.0,24000.0,Urban,5.0,5.0,5.0,5.0,2.0,0,3.0,13.0,0.0,67.0,68.0
43,42,64,227,Female,37,Junior high school or below,han,1.0,1,30400.0,36000.0,Urban,4.0,5.0,4.0,2.0,1.0,0,5.0,22.0,0.0,79.0,71.0
42,43,64,227,Male,42,Junior high school or below,han,1.0,1,21840.0,36000.0,Urban,5.0,5.0,5.0,1.0,10.0,0,2.0,22.0,0.0,65.0,89.0
50,51,72,227,Male,36,Junior high school or below,han,1.0,1,30000.0,33333.33,Urban,5.0,5.0,4.0,5.0,0.5,0,5.0,10.0,0.0,63.0,84.0
51,50,72,227,Female,33,Junior high school or below,han,1.0,1,30400.0,33333.33,Urban,5.0,5.0,1.0,5.0,1.0,0,5.0,10.0,0.0,78.0,84.0
62,63,89,116,Male,33,4-year college/Bachelor's degree or above,han,0.0,0,50000.0,200000.0,Urban,5.0,5.0,4.0,3.0,0.5,0,4.0,26.0,0.0,84.0,65.0
63,62,89,116,Female,36,4-year college/Bachelor's degree or above,han,0.0,0,82000.0,200000.0,Urban,5.0,4.0,4.0,4.0,2.0,0,4.0,26.0,0.0,69.0,65.0
72,73,94,227,Female,42,Senior high school/secondary school/tec,non-han,0.0,1,18700.0,40000.0,Urban,5.0,5.0,1.0,3.0,3.0,0,1.0,15.0,0.0,71.0,89.0
73,72,94,227,Male,44,4-year college/Bachelor's degree or above,non-han,0.0,1,85000.0,40000.0,Urban,4.0,4.0,4.0,3.0,0.0,0,3.0,15.0,0.0,73.0,68.0
6579,6578,98,33,Female,47,Junior high school or below,han,0.0,1,30000.0,9472.0,Rural,4.0,4.0,4.0,5.0,2.0,0,5.0,24.0,0.0,63.0,74.0
6578,6579,98,33,Male,47,Junior high school or below,han,0.0,1,14000.0,9472.0,Rural,4.0,4.0,4.0,4.0,1.0,0,3.0,24.0,0.0,85.0,74.0
75,6807,102,7,Male,35,Junior high school or below,han,1.0,1,60000.0,21666.67,Urban,5.0,5.0,5.0,5.0,1.0,0,5.0,1.0,0.0,85.0,89.0
6807,75,102,7,Female,33,Junior high school or below,han,1.0,1,40000.0,21666.67,Urban,5.0,5.0,5.0,3.0,4.0,0,4.0,1.0,0.0,52.0,68.0
7185,7184,107,142,Male,31,Junior high school or below,han,1.0,1,33000.0,26666.67,Rural,5.0,2.0,5.0,2.0,0.0,0,5.0,5.0,0.0,84.0,89.0
7184,7185,107,142,Female,27,Senior high school/secondary school/tec,han,0.0,1,33000.0,26666.67,Rural,4.0,3.0,4.0,2.0,3.0,0,3.0,5.0,0.0,84.0,68.0
7914,7915,113,59,Female,47,Junior high school or below,han,1.0,3,0.0,43879.0,Urban,3.0,5.0,3.0,3.0,4.0,0,5.0,25.0,0.0,59.0,68.0
7915,7914,113,59,Male,50,Junior high school or below,han,1.0,3,70000.0,43879.0,Urban,3.0,4.0,3.0,2.0,1.0,0,3.0,25.0,0.0,59.0,68.0
8472,8473,116,46,Male,35,Senior high school/secondary school/tec,han,1.0,2,12000.0,20000.0,Rural,5.0,5.0,4.0,4.0,0.0,0,4.0,9.0,0.0,76.0,84.0
8473,8472,116,46,Female,35,Junior high school or below,han,1.0,2,72000.0,20000.0,Rural,5.0,1.0,2.0,4.0,0.0,0,3.0,9.0,0.0,69.0,84.0
76,9667,118,175,Male,26,Junior high school or below,,1.0,1,70000.0,21666.67,Rural,5.0,1.0,5.0,5.0,0.0,0,2.0,1.0,0.0,84.0,68.0
