pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
1933,1932,7,87,Female,35,3-year college,han,0,1,,24000,Urban,4,4,4,3,2,0,4,8,0,,
1932,1933,7,87,Male,32,Junior high school or below,han,0,1,,24000,Urban,4,4,4,3,1,0,4,8,0,,
4244,4245,15,200,Male,34,Junior high school or below,han,1,1,,37500,Rural,,,,,0,0,,7,0,,
4245,4244,15,200,Female,32,Senior high school/secondary school/tec,.,,1,,37500,Rural,,,,,3,0,,7,0,,
4516,4517,17,187,Male,32,Senior high school/secondary school/tec,han,0,1,,16666.67,Urban,5,5,5,5,2,0,5,7,0,,
4517,4516,17,187,Female,27,Junior high school or below,han,1,1,,16666.67,Urban,4,4,5,2,1,0,5,7,0,,
11,10,26,227,Female,39,Junior high school or below,han,1,1,,33333.33,Urban,5,5,1,4,4,0,3,17,0,,
10,11,26,227,Male,43,Senior high school/secondary school/tec,han,1,1,,33333.33,Urban,5,2,5,5,0,0,3,17,0,,
13,12,29,227,Male,46,Junior high school or below,han,1,3,,24000,Urban,4,4,3,5,0.5,0,5,8,0,,
12,13,29,227,Female,41,Junior high school or below,han,1,3,,24000,Urban,4,4,3,5,2,0,5,8,0,,
15,14,30,227,Female,42,Junior high school or below,han,0,1,,33333.33,Urban,5,5,5,5,2,0,1,20,0,,
14,15,30,227,Male,43,Junior high school or below,han,0,1,,33333.33,Urban,4,4,4,3,1,0,4,20,0,,
23,22,35,227,Male,38,Junior high school or below,han,1,2,,40000,Urban,5,5,5,5,1,0,5,5,0,,
22,23,35,227,Female,36,3-year college,han,0,2,,40000,Urban,5,5,5,2,3,0,1,5,0,,
30,31,45,227,Male,43,Junior high school or below,han,1,1,,14000,Urban,5,5,5,3,2,0,1,23,0,,
31,30,45,227,Female,41,Junior high school or below,han,1,1,,14000,Urban,5,4,3,1,5.5,0,2,23,0,,
33,32,47,227,Male,49,3-year college,han,0,1,,24000,Urban,5,5,5,5,0.5,0,4,13,0,,
32,33,47,227,Female,46,Senior high school/secondary school/tec,han,0,1,,24000,Urban,5,5,5,5,2,0,3,13,0,,
43,42,64,227,Female,37,Junior high school or below,han,1,1,,36000,Urban,4,5,4,2,1,0,5,22,0,,
42,43,64,227,Male,42,Junior high school or below,han,1,1,,36000,Urban,5,5,5,1,10,0,2,22,0,,
50,51,72,227,Male,36,Junior high school or below,han,1,1,,33333.33,Urban,,,,,0.5,0,,10,,,
51,50,72,227,Female,33,Junior high school or below,han,1,1,,33333.33,Rural,,,,,1,0,,10,,,
62,63,89,116,Male,33,4-year college/Bachelor's degree or above,han,0,0,,200000,Urban,5,5,4,3,0.5,0,4,,,,
63,62,89,116,Female,36,4-year college/Bachelor's degree or above,han,0,0,,200000,Urban,5,4,4,4,2,0,4,,,,
72,73,94,227,Female,42,Senior high school/secondary school/tec,non-han,0,1,,40000,Urban,5,5,1,3,3,0,1,15,0,,
73,72,94,227,Male,44,4-year college/Bachelor's degree or above,non-han,0,1,,40000,Urban,4,4,4,3,0,0,3,15,0,,
